"submission_year","tri_facility_id","tri_facility_name","rsei_media","county","state","chemical","industry_sector","new_industry_flag","rsei_score"
2012,"06457PRTTWAIRCR","PRATT & WHITNEY","Fugitive Air Releases","MIDDLESEX","CT","Chromium","336 Transportation Equipment","False",191704
2015,"06108PRTTW400MA","PRATT & WHITNEY","Stack Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",160628
2014,"06108PRTTW400MA","PRATT & WHITNEY","Stack Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",160045
2013,"06108PRTTW400MA","PRATT & WHITNEY","Stack Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",159481
2012,"06108PRTTW400MA","PRATT & WHITNEY","Stack Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",158934
2012,"06098HWMTCPRICE","ARCONIC INC","Fugitive Air Releases","LITCHFIELD","CT","Chromium","336 Transportation Equipment","False",147129
2019,"06098HWMTCPRICE","ARCONIC INC","Fugitive Air Releases","LITCHFIELD","CT","Chromium","336 Transportation Equipment","False",146209
2012,"06708MRRRP346HU","MIRROR POLISHING & PLATING CO INC","Stack Air Releases","NEW HAVEN","CT","Chromium compounds","332 Fabricated Metals","False",145476
2019,"06037MHRTN225EP","CORBIN RUSSWIN","Stack Air Releases","HARTFORD","CT","Nickel compounds","332 Fabricated Metals","False",123244
2019,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Stack Air Releases","NEW HAVEN","CT","Nickel compounds","331 Primary Metals","False",123024
2018,"06037MHRTN225EP","CORBIN RUSSWIN","Stack Air Releases","HARTFORD","CT","Nickel compounds","332 Fabricated Metals","False",122902
2014,"06513RTKNC30LEN","TRELLEBORG COATED SYSTEMS US INC","Fugitive Air Releases","NEW HAVEN","CT","Diisocyanates","313 Textiles","False",109199
2018,"06511SRGNT100SA","SARGENT MANUFACTURING CO","Stack Air Releases","NEW HAVEN","CT","Chromium compounds","332 Fabricated Metals","False",106376
2014,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Nickel","332 Fabricated Metals","False",105221
2013,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Nickel","332 Fabricated Metals","False",105216
2015,"06513RTKNC30LEN","TRELLEBORG COATED SYSTEMS US INC","Fugitive Air Releases","NEW HAVEN","CT","Diisocyanates","313 Textiles","False",104316
2019,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",102499
2007,"06795YLMTC1SEEM","ALBEA METAL AMERICAS INC","Fugitive Air Releases","LITCHFIELD","CT","Trichloroethylene","332 Fabricated Metals","False",100417
2013,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",100244
2007,"06037MHRTN225EP","CORBIN RUSSWIN","Fugitive Air Releases","HARTFORD","CT","Nickel compounds","332 Fabricated Metals","False",98637.6
2008,"06037MHRTN225EP","CORBIN RUSSWIN","Fugitive Air Releases","HARTFORD","CT","Nickel compounds","332 Fabricated Metals","False",98605.8
2009,"06037MHRTN225EP","CORBIN RUSSWIN","Fugitive Air Releases","HARTFORD","CT","Nickel compounds","332 Fabricated Metals","False",98574.1
2011,"06037MHRTN225EP","CORBIN RUSSWIN","Fugitive Air Releases","HARTFORD","CT","Nickel compounds","332 Fabricated Metals","False",98516.5
2012,"06037MHRTN225EP","CORBIN RUSSWIN","Fugitive Air Releases","HARTFORD","CT","Nickel compounds","332 Fabricated Metals","False",98495.6
2011,"06708MRRRP346HU","MIRROR POLISHING & PLATING CO INC","Stack Air Releases","NEW HAVEN","CT","Chromium compounds","332 Fabricated Metals","False",97966.1
2016,"06513RTKNC30LEN","TRELLEBORG COATED SYSTEMS US INC","Fugitive Air Releases","NEW HAVEN","CT","Diisocyanates","313 Textiles","False",95439.7
2008,"06492MRCNCSOUTH","ALLNEX USA INC WALLINGFORD CT SITE","Fugitive Air Releases","NEW HAVEN","CT","Formaldehyde","325 Chemicals","False",94855.4
2008,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",94318.6
2019,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","331 Primary Metals","False",93901.3
2012,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",93549.5
2018,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","331 Primary Metals","False",93397.6
2017,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","336 Transportation Equipment","False",92931
2016,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","336 Transportation Equipment","False",92512.8
2015,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","336 Transportation Equipment","False",92125.2
2014,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","336 Transportation Equipment","False",91768.5
2013,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","336 Transportation Equipment","False",91452.9
2012,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","336 Transportation Equipment","False",91168.4
2018,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",90951.5
2011,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","336 Transportation Equipment","False",90905.7
2010,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","336 Transportation Equipment","False",90673.3
2015,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Nickel","336 Transportation Equipment","False",90614.5
2009,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","336 Transportation Equipment","False",90469.7
2008,"06340DNCST835PO","DONCASTERS INC PRECISION CASTINGS NEW ENGLAND","Stack Air Releases","NEW LONDON","CT","Cobalt","336 Transportation Equipment","False",90266
2014,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Nickel","336 Transportation Equipment","False",90222
2013,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Nickel","336 Transportation Equipment","False",89838.7
2012,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Nickel","336 Transportation Equipment","False",89460
2011,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",87847.7
2011,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Cobalt","332 Fabricated Metals","False",84623.4
2007,"06095TYLRF22DEE","TAYLOR & FENN CO","Fugitive Air Releases","HARTFORD","CT","Chromium","331 Primary Metals","False",83157.8
2007,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",79926.8
2017,"06513RTKNC30LEN","TRELLEBORG COATED SYSTEMS US INC","Fugitive Air Releases","NEW HAVEN","CT","Diisocyanates","313 Textiles","False",78538.6
2019,"06513RTKNC30LEN","TRELLEBORG COATED SYSTEMS US INC","Fugitive Air Releases","NEW HAVEN","CT","Diisocyanates","313 Textiles","False",78471.4
2010,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Cobalt","332 Fabricated Metals","False",76931.7
2017,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",73255.5
2010,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",72401
2014,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",72175.3
2018,"06513RTKNC30LEN","TRELLEBORG COATED SYSTEMS US INC","Fugitive Air Releases","NEW HAVEN","CT","Diisocyanates","313 Textiles","False",69857
2016,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",68287.6
2019,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",67420.7
2018,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",67142.7
2017,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",66876.4
2016,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",66620.9
2015,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",66377
2014,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",66142.5
2013,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",65916.1
2012,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",65696.2
2011,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",65483.8
2013,"06096HMLTN1HAMI","HAMILTON SUNDSTRAND","Fugitive Air Releases","HARTFORD","CT","Polycyclic aromatic compounds","336 Transportation Equipment","False",65357.9
2010,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",65277.9
2009,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",65078.1
2008,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",64878.3
2007,"06787SMMTC1430W","SUMMIT CORP OF AMERICA","Stack Air Releases","LITCHFIELD","CT","Nickel compounds","332 Fabricated Metals","False",64678.5
2007,"06492MRCNCSOUTH","ALLNEX USA INC WALLINGFORD CT SITE","Fugitive Air Releases","NEW HAVEN","CT","Formaldehyde","325 Chemicals","False",64626.9
2014,"06037MHRTN225EP","CORBIN RUSSWIN","Stack Air Releases","HARTFORD","CT","Nickel compounds","332 Fabricated Metals","False",64414.7
2008,"06702SPCLT574EA","EYELET DESIGN INC","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",64212.8
2008,"06795YLMTC1SEEM","ALBEA METAL AMERICAS INC","Fugitive Air Releases","LITCHFIELD","CT","Trichloroethylene","332 Fabricated Metals","False",63893.3
2017,"06096HMLTN1HAMI","HAMILTON SUNDSTRAND","Fugitive Air Releases","HARTFORD","CT","Polycyclic aromatic compounds","336 Transportation Equipment","False",61607.4
2009,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",59618.8
2008,"06723YLTCR2712S","EYELET CRAFTERS INC","Stack Air Releases","NEW HAVEN","CT","Trichloroethylene","332 Fabricated Metals","False",58680.6
2007,"06037MHRTN225EP","CORBIN RUSSWIN","Stack Air Releases","HARTFORD","CT","Nickel compounds","332 Fabricated Metals","False",57960.6
2007,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",57858.6
2017,"0678WFJCSR15CNT","FJC SERVICES LLC","Fugitive Air Releases","LITCHFIELD","CT","Trichloroethylene","332 Fabricated Metals","False",56259.7
2016,"0678WFJCSR15CNT","FJC SERVICES LLC","Fugitive Air Releases","LITCHFIELD","CT","Trichloroethylene","332 Fabricated Metals","False",54542.9
2017,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Nickel compounds","331 Primary Metals","False",50423.7
2016,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Nickel compounds","331 Primary Metals","False",50256
2015,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Nickel compounds","331 Primary Metals","False",50095.1
2014,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Nickel compounds","331 Primary Metals","False",49941.4
2012,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Nickel","331 Primary Metals","False",49647.9
2011,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Nickel","331 Primary Metals","False",49507.2
2010,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Nickel","331 Primary Metals","False",49372
2009,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Nickel","331 Primary Metals","False",49239.6
2008,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Nickel","331 Primary Metals","False",49107.3
2007,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Nickel","331 Primary Metals","False",48974.9
2008,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",47844.9
2009,"06511SRGNT100SA","SARGENT MANUFACTURING CO","Stack Air Releases","NEW HAVEN","CT","Nickel compounds","332 Fabricated Metals","False",46606.2
2007,"06511SRGNT100SA","SARGENT MANUFACTURING CO","Stack Air Releases","NEW HAVEN","CT","Nickel compounds","332 Fabricated Metals","False",46304.5
2019,"06098HWMTCPRICE","ARCONIC INC","Fugitive Air Releases","LITCHFIELD","CT","Nickel","336 Transportation Equipment","False",45174.2
2019,"06723YLTCR2712S","EYELET CRAFTERS INC","Stack Air Releases","NEW HAVEN","CT","Trichloroethylene","339 Miscellaneous Manufacturing","False",45118.8
2007,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Cobalt","336 Transportation Equipment","False",44851.6
2019,"06511SRGNT100SA","SARGENT MANUFACTURING CO","Stack Air Releases","NEW HAVEN","CT","Nickel compounds","332 Fabricated Metals","False",44794.4
2010,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",44792.7
2014,"11590PRKNL1101P","OERLIKON METCO (US) INC","Fugitive Air Releases","NASSAU","NY","Cobalt","332 Fabricated Metals","False",44406.2
2018,"0678WFJCSR15CNT","FJC SERVICES LLC","Fugitive Air Releases","LITCHFIELD","CT","Trichloroethylene","332 Fabricated Metals","False",44395.2
2015,"06492MTKNC21TOE","AMETEK SPECIALTY METAL PRODUCTS DIV","Fugitive Air Releases","NEW HAVEN","CT","Trichloroethylene","331 Primary Metals","False",43718.4
2015,"0678WFJCSR15CNT","FJC SERVICES LLC","Fugitive Air Releases","LITCHFIELD","CT","Trichloroethylene","332 Fabricated Metals","False",41864.7
2012,"11725GSSRS440MO","GASSER & SONS INC","Stack Air Releases","SUFFOLK","NY","Trichloroethylene","332 Fabricated Metals","False",40497.4
2018,"06723YLTCR2712S","EYELET CRAFTERS INC","Stack Air Releases","NEW HAVEN","CT","Trichloroethylene","339 Miscellaneous Manufacturing","False",40234.7
2012,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Chromium","332 Fabricated Metals","False",39696.2
2011,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Chromium","332 Fabricated Metals","False",39696.1
2014,"06095TYLRF22DEE","TAYLOR & FENN CO","Fugitive Air Releases","HARTFORD","CT","Nickel","331 Primary Metals","False",39332.7
2008,"06110HLKRM31BRO","DANAHER TOOL GROUP","Fugitive Air Releases","HARTFORD","CT","Chromium","332 Fabricated Metals","False",39238.2
2007,"06110HLKRM31BRO","DANAHER TOOL GROUP","Fugitive Air Releases","HARTFORD","CT","Chromium","332 Fabricated Metals","False",39054
2010,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Cobalt","336 Transportation Equipment","False",38920.3
2007,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Cobalt","332 Fabricated Metals","False",38472.3
2008,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Cobalt","332 Fabricated Metals","False",38470.2
2009,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Cobalt","332 Fabricated Metals","False",38468
2014,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Cobalt","332 Fabricated Metals","False",38467.9
2013,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Cobalt","332 Fabricated Metals","False",38466.2
2012,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Cobalt","332 Fabricated Metals","False",38465.3
2007,"11590PRKNL1101P","OERLIKON METCO (US) INC","Fugitive Air Releases","NASSAU","NY","Chromium","332 Fabricated Metals","False",38279.9
2008,"11590PRKNL1101P","OERLIKON METCO (US) INC","Fugitive Air Releases","NASSAU","NY","Chromium","332 Fabricated Metals","False",38265.2
2009,"11725GSSRS440MO","GASSER & SONS INC","Stack Air Releases","SUFFOLK","NY","Trichloroethylene","332 Fabricated Metals","False",38247.9
2014,"11590PRKNL1101P","OERLIKON METCO (US) INC","Fugitive Air Releases","NASSAU","NY","Chromium compounds","332 Fabricated Metals","False",38189.3
2007,"06723YLTCR2712S","EYELET CRAFTERS INC","Stack Air Releases","NEW HAVEN","CT","Trichloroethylene","332 Fabricated Metals","False",38119
2011,"06108PRTTW400MA","PRATT & WHITNEY","Fugitive Air Releases","HARTFORD","CT","Chromium","336 Transportation Equipment","False",38059.6
2012,"11590PRKNL1101P","OERLIKON METCO (US) INC","Stack Air Releases","NASSAU","NY","Nickel","332 Fabricated Metals","False",37877
2008,"06095TYLRF22DEE","TAYLOR & FENN CO","Fugitive Air Releases","HARTFORD","CT","Chromium","331 Primary Metals","False",37546.5
2015,"06095TYLRF22DEE","TAYLOR & FENN CO","Fugitive Air Releases","HARTFORD","CT","Nickel","331 Primary Metals","False",37546.5
2008,"11725GSSRS440MO","GASSER & SONS INC","Fugitive Air Releases","SUFFOLK","NY","Trichloroethylene","332 Fabricated Metals","False",37300
2011,"11725GSSRS440MO","GASSER & SONS INC","Stack Air Releases","SUFFOLK","NY","Trichloroethylene","332 Fabricated Metals","False",36492.5
2010,"11725GSSRS440MO","GASSER & SONS INC","Stack Air Releases","SUFFOLK","NY","Trichloroethylene","332 Fabricated Metals","False",36459.6
